homeTeamStats,awayTeamStats,Stat,id
0.0,4.0,Corners,93595
2.0,2.0,Offsides,93595
3.0,1.0,Yellow cards,93595
12.0,7.0,Fouls conceded,93595
3.0,2.0,Goal,93595
30.7,69.3,Possession %,93592
1.0,5.0,Shots on target,93592
10.0,9.0,Shots,93592
480.0,888.0,Touches,93592
303.0,708.0,Passes,93592
19.0,19.0,Tackles,93592
10.0,12.0,Clearances,93592
6.0,4.0,Corners,93592
5.0,2.0,Offsides,93592
0.0,2.0,Yellow cards,93592
1.0,0.0,Red cards,93592
11.0,15.0,Fouls conceded,93592
0.0,4.0,Goal,93592
51.6,48.4,Possession %,93599
4.0,4.0,Shots on target,93599
22.0,11.0,Shots,93599
662.0,614.0,Touches,93599
439.0,428.0,Passes,93599
16.0,17.0,Tackles,93599
16.0,30.0,Clearances,93599
4.0,3.0,Corners,93599
5.0,2.0,Offsides,93599
2.0,4.0,Yellow cards,93599
11.0,18.0,Fouls conceded,93599
2.0,2.0,Goal,93599
52.8,47.2,Possession %,93597
6.0,6.0,Shots on target,93597
19.0,10.0,Shots,93597
784.0,728.0,Touches,93597
584.0,530.0,Passes,93597
23.0,15.0,Tackles,93597
13.0,18.0,Clearances,93597
7.0,4.0,Corners,93597
6.0,1.0,Offsides,93597
0.0,3.0,Yellow cards,93597
6.0,10.0,Fouls conceded,93597
1.0,1.0,Goal,93597
51.1,48.9,Possession %,93598
8.0,6.0,Shots on target,93598
15.0,23.0,Shots,93598
658.0,636.0,Touches,93598
488.0,444.0,Passes,93598
15.0,13.0,Tackles,93598
19.0,7.0,Clearances,93598
5.0,8.0,Corners,93598
6.0,1.0,Offsides,93598
1.0,2.0,Yellow cards,93598
13.0,11.0,Fouls conceded,93598
2.0,0.0,Goal,93598
69.9,30.1,Possession %,93593
12.0,9.0,Shots on target,93593
32.0,13.0,Shots,93593
846.0,483.0,Touches,93593
614.0,278.0,Passes,93593
13.0,16.0,Tackles,93593
16.0,43.0,Clearances,93593
10.0,3.0,Corners,93593
1.0,1.0,Offsides,93593
3.0,5.0,Yellow cards,93593
12.0,11.0,Fouls conceded,93593
2.0,2.0,Goal,93593
50.4,49.6,Possession %,93596
4.0,2.0,Shots on target,93596
21.0,8.0,Shots,93596
628.0,619.0,Touches,93596
427.0,404.0,Passes,93596
19.0,12.0,Tackles,93596
22.0,19.0,Clearances,93596
8.0,6.0,Corners,93596
0.0,1.0,Offsides,93596
2.0,3.0,Yellow cards,93596
20.0,11.0,Fouls conceded,93596
1.0,1.0,Goal,93596
47.8,52.2,Possession %,93600
3.0,7.0,Shots on target,93600
8.0,23.0,Shots,93600
630.0,650.0,Touches,93600
451.0,495.0,Passes,93600
9.0,21.0,Tackles,93600
20.0,11.0,Clearances,93600
3.0,4.0,Corners,93600
3.0,0.0,Offsides,93600
2.0,2.0,Yellow cards,93600
7.0,11.0,Fouls conceded,93600
2.0,1.0,Goal,93600
71.5,28.5,Possession %,93591
6.0,4.0,Shots on target,93591
17.0,9.0,Shots,93591
738.0,385.0,Touches,93591
564.0,226.0,Passes,93591
8.0,13.0,Tackles,93591
7.0,33.0,Clearances,93591
10.0,4.0,Corners,93591
1.0,2.0,Offsides,93591
2.0,4.0,Yellow cards,93591
9.0,10.0,Fouls conceded,93591
2.0,1.0,Goal,93591
19.3,80.7,Possession %,93589
0.0,10.0,Shots on target,93589
